fold,repeat,fold_within_repeat,r,k,n_train,n_test,n_pos_train,n_pos_test,pr_auc,roc_auc,balanced_accuracy,sensitivity,specificity
11,3,1,16,8,76,20,10,3,0.21428571428571427,0.5882352941176471,0.4901960784313726,0.3333333333333333,0.6470588235294118
11,3,1,16,16,76,20,10,3,0.12326007326007325,0.196078431372549,0.38235294117647056,0.0,0.7647058823529411
11,3,1,16,32,76,20,10,3,0.1638888888888889,0.4117647058823529,0.35294117647058826,0.0,0.7058823529411765
12,3,2,4,8,77,19,11,2,0.13392857142857142,0.4411764705882353,0.29411764705882354,0.0,0.5882352941176471
12,3,2,4,16,77,19,11,2,0.13333333333333333,0.4411764705882353,0.3235294117647059,0.0,0.6470588235294118
12,3,2,4,32,77,19,11,2,0.14583333333333331,0.4411764705882353,0.6029411764705883,0.5,0.7058823529411765
12,3,2,8,8,77,19,11,2,0.8333333333333333,0.9705882352941176,0.9411764705882353,1.0,0.8823529411764706
12,3,2,8,16,77,19,11,2,0.5833333333333333,0.9411764705882353,0.8823529411764706,1.0,0.7647058823529411
12,3,2,8,32,77,19,11,2,0.35,0.7352941176470589,0.6323529411764706,0.5,0.7647058823529411
12,3,2,16,8,77,19,11,2,0.10818713450292397,0.2647058823529412,0.4852941176470588,0.5,0.47058823529411764
12,3,2,16,16,77,19,11,2,0.09453781512605042,0.17647058823529416,0.35294117647058826,0.0,0.7058823529411765
