development_gene,development_entrez_ids,gpl570_status,matched_entrez_ids,gse236233_present_all9,eligible_v44
SLC39A10,57181,EXACT_SYMBOL,57181,1,1
SLC39A11,201266,EXACT_SYMBOL,201266,1,1
SLC39A12,221074,EXACT_SYMBOL,221074,1,1
SLC39A13,91252,EXACT_SYMBOL,91252,1,1
SLC39A14,23516,EXACT_SYMBOL,23516,1,1
SLC39A2,29986,EXACT_SYMBOL,29986,1,1
SLC39A3,29985,EXACT_SYMBOL,29985,1,1
SLC39A4,55630,EXACT_SYMBOL,55630,1,1
SLC39A5,283375,EXACT_SYMBOL,283375,1,1
SLC39A6,25800,EXACT_SYMBOL,25800,1,1
SLC39A7,7922,EXACT_SYMBOL,7922,1,1
SLC39A8,64116,EXACT_SYMBOL,64116,1,1
SLC39A9,55334,EXACT_SYMBOL,55334,1,1
SLC3A1,6519,EXACT_SYMBOL,6519,1,1
SLC3A2,6520,EXACT_SYMBOL,6520,1,1
SLC40A1,30061,EXACT_SYMBOL,30061,1,1
SLC41A1,254428,EXACT_SYMBOL,254428,1,1
SLC41A2,84102,EXACT_SYMBOL,84102,1,1
SLC41A3,54946,EXACT_SYMBOL,54946,1,1
SLC43A1,8501,EXACT_SYMBOL,8501,1,1
SLC43A2,124935,EXACT_SYMBOL,124935,1,1
SLC43A3,29015,EXACT_SYMBOL,29015,1,1
SLC44A1,23446,EXACT_SYMBOL,23446,1,1
SLC44A2,57153,EXACT_SYMBOL,57153,1,1
SLC44A3,126969,EXACT_SYMBOL,126969,1,1
SLC44A4,80736,EXACT_SYMBOL,80736,1,1
SLC44A5,204962,EXACT_SYMBOL,204962,1,1
SLC45A1,50651,EXACT_SYMBOL,50651,1,1
SLC45A2,51151,EXACT_SYMBOL,51151,1,1
SLC45A3,85414,EXACT_SYMBOL,85414,1,1
SLC45A4,57210,EXACT_SYMBOL,57210,1,1
SLC46A1,113235,EXACT_SYMBOL,113235,1,1
SLC46A2,57864,EXACT_SYMBOL,57864,1,1
SLC46A3,283537,EXACT_SYMBOL,283537,1,1
SLC47A1,55244,EXACT_SYMBOL,55244,1,1
SLC47A2,146802,EXACT_SYMBOL,146802,1,1
SLC48A1,55652,EXACT_SYMBOL,55652,1,1
SLC4A1,6521,EXACT_SYMBOL,6521,1,1
SLC4A10,57282,EXACT_SYMBOL,57282,1,1
SLC4A11,83959,EXACT_SYMBOL,83959,1,1
