fold,repeat,fold_within_repeat,r,n_train,n_test,n_pos_train,n_pos_test,leading_abs_eigenvalue,pr_auc,roc_auc,balanced_accuracy,sensitivity,specificity
57,12,2,8,77,19,11,2,68.47855112366679,0.3611111111111111,0.7647058823529411,0.7205882352941176,0.5,0.9411764705882353
57,12,2,16,77,19,11,2,68.47855112366679,0.13942307692307693,0.47058823529411764,0.5,0.0,1.0
58,12,3,4,77,19,11,2,48.198657214282484,0.26666666666666666,0.7058823529411764,0.6323529411764706,0.5,0.7647058823529411
58,12,3,8,77,19,11,2,48.198657214282484,0.25,0.6470588235294117,0.6911764705882353,0.5,0.8823529411764706
58,12,3,16,77,19,11,2,48.198657214282484,0.41666666666666663,0.8823529411764706,0.4411764705882353,0.0,0.8823529411764706
59,12,4,4,77,19,10,3,68.2707986297336,0.6388888888888888,0.7916666666666666,0.6458333333333333,0.6666666666666666,0.625
59,12,4,8,77,19,10,3,68.2707986297336,0.37777777777777777,0.75,0.7083333333333333,0.6666666666666666,0.75
59,12,4,16,77,19,10,3,68.2707986297336,0.47619047619047616,0.8541666666666666,0.7708333333333333,0.6666666666666666,0.875
60,12,5,4,77,19,10,3,61.14467691533418,0.33040935672514615,0.5625,0.6458333333333333,0.6666666666666666,0.625
60,12,5,8,77,19,10,3,61.14467691533418,0.49707602339181284,0.5833333333333334,0.6458333333333333,0.6666666666666666,0.625
60,12,5,16,77,19,10,3,61.14467691533418,0.5069444444444444,0.6458333333333333,0.7083333333333333,0.6666666666666666,0.75
61,13,1,4,76,20,10,3,64.78241517038204,0.3833333333333333,0.7450980392156863,0.5980392156862745,0.6666666666666666,0.5294117647058824
61,13,1,8,76,20,10,3,64.78241517038204,0.4909090909090909,0.6862745098039216,0.43137254901960786,0.3333333333333333,0.5294117647058824
61,13,1,16,76,20,10,3,64.78241517038204,0.4888888888888888,0.8235294117647058,0.47058823529411764,0.0,0.9411764705882353
