fold_i,fold_j,repeat_i,repeat_j,same_repeat,normalized_projector_overlap
4,88,1,18,0,0.657546187717261
4,89,1,18,0,0.7027816208651606
4,90,1,18,0,0.6776208419582401
4,91,1,19,0,0.6884522262291177
4,92,1,19,0,0.6113419804944917
4,93,1,19,0,0.7413699265993983
4,94,1,19,0,0.7388937227661796
4,95,1,19,0,0.6788353695382408
4,96,1,20,0,0.6940214360337693
4,97,1,20,0,0.6135973434570451
4,98,1,20,0,0.7210531638318333
4,99,1,20,0,0.7385492933584131
4,100,1,20,0,0.7180325912751091
5,6,1,2,0,0.5667729987183705
5,7,1,2,0,0.6935031926358513
5,8,1,2,0,0.6597118336587533
5,9,1,2,0,0.6099325657234127
5,10,1,2,0,0.6425958783402579
5,11,1,3,0,0.5567373674399723
5,12,1,3,0,0.6989006771276215
5,13,1,3,0,0.6447763828423332
5,14,1,3,0,0.6226844279236774
5,15,1,3,0,0.6219391119081561
5,16,1,4,0,0.6550791613062132
5,17,1,4,0,0.5816399255221358
5,18,1,4,0,0.6294147452943509
5,19,1,4,0,0.6259775784632061
5,20,1,4,0,0.6184103526274403
5,21,1,5,0,0.691947332468855
5,22,1,5,0,0.5884881088663567
5,23,1,5,0,0.6534402579491344
5,24,1,5,0,0.6304343768230671
5,25,1,5,0,0.6169617516557263
5,26,1,6,0,0.6507912244099823
5,27,1,6,0,0.6464189077453176
5,28,1,6,0,0.6159552462311412
5,29,1,6,0,0.6178589404991494
5,30,1,6,0,0.5897576193423868
5,31,1,7,0,0.6156863416781511
5,32,1,7,0,0.5844041472029633
5,33,1,7,0,0.6057823154725499
5,34,1,7,0,0.6534251590635742
5,35,1,7,0,0.716545069335949
5,36,1,8,0,0.6086495535221945
5,37,1,8,0,0.6341549566367681
5,38,1,8,0,0.6141921310816949
5,39,1,8,0,0.6228870017884668
5,40,1,8,0,0.6805162359211111
5,41,1,9,0,0.6150106198552907
5,42,1,9,0,0.6499557500883891
5,43,1,9,0,0.6380978575392071
5,44,1,9,0,0.5831059320205146
5,45,1,9,0,0.6646060355239243
5,46,1,10,0,0.6335915418043454
5,47,1,10,0,0.6520126564923034
5,48,1,10,0,0.6423426767292997
5,49,1,10,0,0.6669338855815226
5,50,1,10,0,0.5771229281056163
5,51,1,11,0,0.5816241051018385
5,52,1,11,0,0.6153372624360234
5,53,1,11,0,0.6575000600950424
5,54,1,11,0,0.6817092902480351
5,55,1,11,0,0.6188373367679557
5,56,1,12,0,0.6638663804805669
5,57,1,12,0,0.6412595821649598
5,58,1,12,0,0.5703484446672293
5,59,1,12,0,0.5989498425094769
5,60,1,12,0,0.6273244818136969
5,61,1,13,0,0.6077914725812243
5,62,1,13,0,0.6475309122199329
5,63,1,13,0,0.5958595966897744
5,64,1,13,0,0.6438795022692909
5,65,1,13,0,0.6480624683653733
5,66,1,14,0,0.6482711899268918
5,67,1,14,0,0.5990882840350895
5,68,1,14,0,0.669385159483687
5,69,1,14,0,0.6558134577154217
5,70,1,14,0,0.6185087806970511
5,71,1,15,0,0.6185609049119547
5,72,1,15,0,0.6512131380669717
5,73,1,15,0,0.6276516034138955
5,74,1,15,0,0.6017520338653214
5,75,1,15,0,0.6244279972796306
5,76,1,16,0,0.572868647174401
5,77,1,16,0,0.6737102704516355
5,78,1,16,0,0.6783943176680334
5,79,1,16,0,0.6613689112687697
5,80,1,16,0,0.6297455924516547
5,81,1,17,0,0.6528287561210575
5,82,1,17,0,0.6595377565869036
5,83,1,17,0,0.6654641401242576
5,84,1,17,0,0.5945725440478312
5,85,1,17,0,0.6064953136621024
5,86,1,18,0,0.609586027147714
5,87,1,18,0,0.6840239491274426
5,88,1,18,0,0.7192338633121415
5,89,1,18,0,0.5863267031927064
5,90,1,18,0,0.5852679373062295
