gene	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16
ORM2	0.0798893212706155	0.0129113849900012	-0.03385062061641131	-0.026433961281880587	0.08041461999155172	-0.018521728036028234	-0.07926607263605145	-0.047372160328005154	-0.031229114112602565	0.061445331226730085	0.03426498373077742	0.07976718055885361	0.07759787247538298	0.01516377161993525	0.08574722434076419	0.005245499989335312
DEFA4	0.07837862482116456	0.00253183803616594	-0.008855942520030427	-0.005358251813367981	0.12097672394148985	-0.0038590967522530804	0.06805929413736893	-0.01898052330381374	0.12492674014686285	-0.052404411394986285	-0.01719165538683594	-0.04400702446684273	-0.02027799306652409	-0.05959152912304108	-0.051123609875474485	-0.041217421359251126
MEST	0.05951109449349444	-0.04944823814946308	-0.0002270142029260034	0.15587264001281606	-0.03929013043201214	-0.000980380197011174	0.030579211128318903	0.01422769446496495	0.03392835164741303	-0.06989643406335178	-0.05353274454803421	-0.022972209913072052	0.04272169237685393	0.11960098899458262	0.08319832302088184	-0.027987772322578344
CAMP	0.07460880409843479	0.034661547440469655	-0.01833073094274332	-0.03987548408780126	0.1217898472100813	-0.10013899311632606	-0.03388781931788789	-0.07280840345198704	0.0577095468961499	0.020218188739697513	0.029695988485863533	0.011743886168440909	0.06348317798856054	-0.0033412040093075478	0.09120614943679214	0.0037245496030468214
CNRIP1	0.04676001430210104	-0.05351324072498333	0.003988263914607124	0.11632741030146833	-0.05006776771307201	-0.12699577262031292	-0.02272582182318435	0.006036712144536611	0.11280382925699177	-0.054706507792768526	0.17231497345461175	-0.0029165191039347642	0.10441466181211581	0.10478556353759419	0.0705247040836934	0.03157062987026852
APOBEC3B	0.059693751943524276	0.025981491882626415	0.01294898119388685	0.02870703140665701	-0.02432266849240059	0.03805024367801411	-0.009683884303643685	0.050240728161568604	-0.10655128301190693	-0.031218632428982294	0.01579057924343382	-0.04935804761957965	-0.08735787685239475	-0.06478166996656182	-0.1200745161056461	0.02016294144694431
RRM2	0.09039071225722373	0.0074406688307748605	0.017464418584404028	-0.013228547875431765	-0.006623060641661132	0.01525738697785297	0.02765441809771577	0.06263217907697062	-0.0693282160033342	-0.006357309901533331	0.022422597378948018	-0.0320885753952734	0.009837295669662639	0.008037648928178442	-0.02042491627120903	0.051231975918781786
OASL	-0.03367225778842544	0.1230068341502916	0.09635853331702067	0.058367286414092875	0.04227203919918345	-0.0234922262248789	-0.03240731144936046	-0.016133389255132954	0.017685870474964182	0.015135514538864615	0.019588282620979523	0.03254196602973665	0.02740648434641682	-0.021916983093388808	-0.06370459838097502	0.08737669185798042
LGALS2	-0.032187822764179745	0.06058772527823158	-0.01823834865271374	-0.05821979924809916	0.0691750698863891	0.16699046997920605	0.030501954353149122	0.10647583695953111	0.1353549821284824	0.008082781671304629	0.060606333249999374	-0.00973386066407924	0.07044610047151642	0.017929817330346605	0.15977528543298178	-0.08661237164209835
HEPACAM2	-0.0012807456167763305	-0.10908883200553715	0.13652781270262365	-0.04406324320642329	-0.003940215735847892	0.07777919919479509	-0.03593035306945079	0.051170020937161234	0.03300772494857217	0.014277388389485031	-0.07227653111785586	0.04353831233332728	0.04279600271822176	-0.022525745201068127	0.013514835495801217	0.040042984986131756
MS4A3	0.08397827744672831	-0.0004335970293827858	0.007648835784886351	-0.018956990609945892	0.08360120629538423	-0.040914782200734946	0.0353117112693061	0.06223707625909978	0.1308740161708492	0.020392931868017338	-0.055681493425391346	-0.012821310931007465	-0.03787179358820175	-0.05342266681042696	0.00518737562957279	0.02666944903537539
ATP8B4	0.08965226781136285	0.02011851735587868	0.007209328771899302	-0.0206686481388601	0.051607936023051436	0.0034900329384060513	0.023381621533610057	0.04394342527183242	0.05636916833587272	0.012231527603871754	-0.04053779171768173	-0.02586896515336324	-0.023035101300209335	-0.01746280641909268	0.007543599690266327	-0.03324516302405114
LCN2	0.07848517256673178	0.025587892454558083	-0.005566158688885189	-0.012749543498218061	0.13386468032672325	-0.07964861760832614	0.006121312956561798	-0.06355306513807378	0.025196230810127104	-0.00858561843673884	0.021145686705836393	-0.032288519596304834	0.0360634025910218	0.013353919590650605	0.021234154565765877	-0.040399622375785905
UHRF1	0.09146500649213955	0.00429723088931677	0.00728902373709896	-0.0019010686808413598	0.010199499609264449	-0.010781368926880959	0.04002390263593498	0.03471050606298997	-0.023012562788393566	0.00981701261819617	0.03495188217256249	-0.03288783502649953	-0.009974530857201657	0.03378887401405211	-0.05783294367857215	-0.011406319763914007
PIWIL4	0.09018069981147246	0.02147904385999806	0.0045456226188643105	-0.02152510326279197	0.0502409331149429	0.021473873312748075	0.03204172849116204	0.009857668062203537	0.04404237848384307	-0.03253004958534602	-0.021566952677421973	-0.05184403551500385	-0.019126071979954536	-0.038705837615518816	-0.01632896832641411	-0.005632913252127714
PGLYRP1	0.0852367704188183	0.012773684410231984	-0.010237926225781888	-0.014708124650514963	0.09977950080977996	-0.04851431705891824	-0.05694331210109243	-0.06795185492142673	-0.02824237394941237	0.009763789678474608	-0.01083257801790139	0.03414818094061397	0.005413550171165134	0.034286652518334196	0.016936183998631456	-0.017539276239475845
CYTL1	0.05510400253856389	-0.0579077022653033	0.016428179423838302	0.13005539282233322	-0.08503536144544248	-0.020353071459804892	-0.012050741267118338	-0.04213377184704266	0.07490873641603596	-0.05840623643641977	0.012160321445438362	-0.03721159781182998	0.056857334995535934	0.15522085905759272	0.08528866692484924	-0.05957825359045389
GPR146	-0.04285205412023406	-0.09090945457453466	0.09039771137226536	-0.05496512457753475	0.07033743877291282	-0.021050215748802004	-0.010123911104553006	-0.0669913029178541	0.015797538128845587	0.014055786969576744	0.016759336780786886	-0.10194933711290295	0.07045617518714772	-0.060360503912712825	-0.06866153611312453	0.01811352344930918
SERPING1	-0.03597027573083641	0.09323528681325853	0.09381021580175095	0.09871669218559717	0.01087491392443855	0.016787818770387923	-0.01710630065188661	-0.018069917466623838	-0.000918711047701186	0.0813438756466581	0.08039096315415896	-0.027491102633708964	-0.021711665747999837	0.013370178998256193	-0.023325731890638086	0.03252928762945031
E2F8	0.08930214020915105	-0.0007719491148423024	0.018138428351687875	-0.009385758193230637	-0.006743812389844562	0.017586604954963454	0.03966316531716205	0.05428238760083355	-0.08467259218904014	0.011718104971514274	0.040673495987376455	-0.03244824145421639	-0.004546852631601325	0.013086177885092375	-0.034666064321721875	0.0207560566423734
