gene	subspace_leverage	projector_mass_fraction	effective_gene_beta	abs_effective_gene_beta	classifier_weight_share	leverage_rank_desc	abs_beta_rank_desc	weight_share_rank_desc
TREM1	0.06274128755965624	0.003921330472478515	0.1761850336614	0.1761850336614	0.006824118588217134	115	43	43
EPDR1	0.0626579002760743	0.003916118767254644	0.13621173259861596	0.13621173259861596	0.004078848475608308	116	71	71
MPL	0.06262339472572538	0.003913962170357836	0.11342702965929383	0.11342702965929383	0.00282840539078281	117	99	99
ITGB3	0.062239342042840366	0.003889958877677523	0.02428019292029049	0.02428019292029049	0.00012960232841706563	118	212	212
CYP1B1	0.06154234988309227	0.003846396867693267	-0.11726660724682765	0.11726660724682765	0.0030231330312600994	119	96	96
CEP55	0.061212679791245894	0.0038257924869528684	-0.35517098356032323	0.35517098356032323	0.027732147006940877	120	4	4
EOMES	0.060307676795703966	0.003769229799731498	-0.1476317360078832	0.1476317360078832	0.004791461370400962	121	65	65
CA1	0.05979010986612578	0.0037368818666328615	-0.04251259415584993	0.04251259415584993	0.0003973230415761842	122	178	178
GJB6	0.05967617952783764	0.0037297612204898523	-0.025278646557428116	0.025278646557428116	0.00014048054168871614	123	208	208
ALPL	0.05965719253452666	0.003728574533407916	-0.17149697570650863	0.17149697570650863	0.006465788126959265	124	48	48
CD83	0.05935810435959749	0.0037098815224748433	0.014819417981979277	0.014819417981979277	4.828039702487571e-05	125	227	227
HBD	0.059257216398374106	0.0037035760248983816	0.06558412329934842	0.06558412329934842	0.0009455967539858974	126	153	153
RRM2	0.05903799685032858	0.0036898748031455363	-0.07430272197804408	0.07430272197804408	0.0012137185385022492	127	143	143
PRTN3	0.059007450078158684	0.0036879656298849177	0.22778299677946579	0.22778299677946579	0.0114064668463847	128	23	23
CRISP2	0.05898744363686792	0.003686715227304245	0.0100873362268992	0.0100873362268992	2.236977064713981e-05	129	234	234
HIST1H2AE	0.05856676772462274	0.0036604229827889214	0.14982279916123709	0.14982279916123709	0.004934740860769776	130	63	63
ESAM	0.05842536754252927	0.0036515854714080794	0.14954825358713922	0.14954825358713922	0.0049166719160473795	131	64	64
RBPMS2	0.05804579697336168	0.003627862310835105	0.004907144622781708	0.004907144622781708	5.293784439944966e-06	132	249	249
TACSTD2	0.0578767902772645	0.0036172993923290313	-0.04910085109487983	0.04910085109487983	0.0005300130683160564	133	168	168
PRF1	0.056954433862716175	0.003559652116419761	0.18025083489598173	0.18025083489598173	0.007142711480308874	134	41	41
GIMAP8	0.05694312087984493	0.0035589450549903083	0.09525752861051315	0.09525752861051315	0.0019948358179153465	135	117	117
HLA-DQA1	0.05691867077361711	0.0035574169233510695	0.02463802174429107	0.02463802174429107	0.00013345050025909914	136	210	210
SIK1	0.05630890979587082	0.003519306862241926	-0.04072955293464825	0.04072955293464825	0.00036469333300919577	137	179	179
F13A1	0.0560074634025865	0.003500466462661656	-0.16951730471213877	0.16951730471213877	0.006317374382034205	138	50	50
HIST1H1B	0.05576612418914856	0.003485382761821785	0.08936872498079061	0.08936872498079061	0.0017558186658724198	139	123	123
GBP1	0.055754862561645344	0.003484678910102834	-0.13343993213199612	0.13343993213199612	0.003914534839174794	140	76	76
CCL3L1	0.05503576899439901	0.0034397355621499383	0.19685251428607184	0.19685251428607184	0.00851903632591994	141	35	35
HIST1H2BG	0.05497194758847917	0.003435746724279948	0.19179655638685644	0.19179655638685644	0.008087050377570395	142	37	37
PROS1	0.05493292180996474	0.003433307613122796	0.061699706571949925	0.061699706571949925	0.0008369022492915117	143	158	158
HLA-DMB	0.05491506556824579	0.003432191598015362	-0.09513201732934734	0.09513201732934734	0.0019895824913538007	144	118	118
PRG3	0.054570986365620605	0.003410686647851288	0.1572626935657195	0.1572626935657195	0.005437007819621069	145	57	57
GIMAP4	0.054495867599064766	0.003405991724941548	0.10665373884855088	0.10665373884855088	0.0025006948926599463	146	106	106
GADD45B	0.05378624034325567	0.0033616400214534796	-0.15566196442017888	0.15566196442017888	0.00532688782626043	147	61	61
AQP10	0.05335169399232468	0.0033344808745202925	0.0082622423899643	0.0082622423899643	1.5007363479303544e-05	148	240	240
MAL	0.05295817012283498	0.003309885632677186	-0.04414110381023471	0.04414110381023471	0.00042834619755588053	149	176	176
