resample,real_subspace_capture,null_subspace_capture,delta_subspace_capture,real_corr_neighborhood,null_corr_neighborhood,delta_corr_neighborhood,real_exact_overlap,null_exact_overlap,delta_exact_overlap
180,0.38873976154748685,0.15737967890236404,0.2313600826451228,0.5169787409017237,0.3041751922607564,0.2128035486409673,0.3125,0.0,0.3125
181,0.2789557313064027,0.238045252010415,0.040910479295987734,0.42258479221562084,0.36110153978741616,0.06148325242820468,0.1875,0.125,0.0625
182,0.20619393451680915,0.22732527697677843,-0.021131342459969282,0.3201488225644632,0.3699477456608611,-0.049798923096397885,0.0625,0.0625,0.0
183,0.28612534823655644,0.18615748343685518,0.09996786479970127,0.40906491532546785,0.32272402679337014,0.0863408885320977,0.1875,0.0625,0.125
184,0.3760637474242481,0.19194836331700793,0.18411538410724015,0.4911228840761544,0.31431937323585074,0.17680351084030366,0.3125,0.0625,0.25
185,0.23989647026534242,0.23849147046121433,0.0014049998041280876,0.36581623428768867,0.37380805723169486,-0.007991822944006188,0.125,0.125,0.0
186,0.1767652187927114,0.15849107287198155,0.018274145920729845,0.30343063982638485,0.31719557928653463,-0.013764939460149783,0.0625,0.0,0.0625
187,0.27360338881129,0.2501015500791417,0.023501838732148284,0.3941719298095073,0.3831371147233785,0.011034815086128802,0.1875,0.125,0.0625
188,0.44079080030061424,0.1609406000001204,0.27985020030049385,0.5397813893337018,0.3355501725624034,0.2042312167712984,0.375,0.0,0.375
189,0.22523203889427962,0.22406457576366157,0.0011674631306180516,0.32463078418521246,0.384683611058932,-0.060052826873719545,0.125,0.0625,0.0625
190,0.3600589641168932,0.12564815806910504,0.23441080604778816,0.48981347636716754,0.24529437012332614,0.2445191062438414,0.25,0.0,0.25
191,0.40143552837011776,0.2334249897691738,0.16801053860094395,0.5444438287575015,0.3870290496623665,0.15741477909513502,0.3125,0.0625,0.25
192,0.37348142108823545,0.2836216822702062,0.08985973881802928,0.4700690240305395,0.3930465533641696,0.07702247066636991,0.3125,0.125,0.1875
193,0.364833317528707,0.22008183257808014,0.14475148495062687,0.5068640317634397,0.3404219433968732,0.16644208836656654,0.25,0.0625,0.1875
194,0.27284587717960973,0.27108750688664257,0.0017583702929671596,0.3847052551030174,0.4189435894870859,-0.03423833438406848,0.1875,0.1875,0.0
195,0.2768772199556662,0.12698071194108465,0.14989650801458157,0.3944178769643921,0.25724053354284837,0.13717734342154375,0.1875,0.0,0.1875
196,0.330265759221185,0.21597361472982196,0.11429214449136305,0.4336242195499771,0.35212270584230376,0.08150151370767333,0.25,0.0625,0.1875
197,0.33694781032053317,0.15376793884500142,0.18317987147553175,0.48544426025240894,0.26678332886100103,0.2186609313914079,0.25,0.0,0.25
198,0.1973026209323152,0.21470964513292845,-0.01740702420061324,0.33713311505521387,0.371688755231969,-0.03455564017675511,0.0625,0.0625,0.0
199,0.4310030642963275,0.34499108457506156,0.08601197972126595,0.5408073567595219,0.4642976619277672,0.07650969483175463,0.375,0.25,0.125
200,0.22416927147305846,0.20204872922064737,0.022120542252411085,0.3561504458981345,0.32342869683561004,0.03272174906252445,0.125,0.0625,0.0625
201,0.3821396831743279,0.19110206158387683,0.19103762159045107,0.4956397797303851,0.3638489258058562,0.13179085392452888,0.3125,0.0625,0.25
202,0.21947356998620302,0.1327224950311804,0.08675107495502263,0.37030783454593674,0.26740268137292555,0.10290515317301119,0.0625,0.0,0.0625
203,0.21172910643839327,0.1340052078745344,0.07772389856385886,0.33854553390657116,0.2927705404122849,0.045774993494286265,0.125,0.0,0.125
204,0.2718131837668777,0.19101000194040968,0.080803181826468,0.43186589591107605,0.3478188137232725,0.08404708218780355,0.125,0.0625,0.0625
205,0.2641498955709808,0.18143267752224096,0.08271721804873983,0.38314303090738877,0.3301835422842955,0.0529594886230933,0.1875,0.0625,0.125
206,0.26917944578866,0.19910281146549877,0.07007663432316122,0.37873933931525083,0.3589995304036193,0.019739808911631518,0.1875,0.0625,0.125
207,0.31503762837460675,0.23126309194386244,0.08377453643074431,0.4663245964918855,0.3640786939451881,0.10224590254669741,0.1875,0.125,0.0625
208,0.3860743458633847,0.15663660822617437,0.22943773763721032,0.5081855916323086,0.2986620998566113,0.2095234917756973,0.3125,0.0,0.3125
209,0.29938717650442803,0.13013227505040792,0.1692549014540201,0.4564941770864309,0.26543952119557257,0.19105465589085835,0.1875,0.0,0.1875
210,0.3278291496522402,0.19064399465930906,0.13718515499293113,0.43307594337447414,0.339316378146286,0.09375956522818812,0.25,0.0625,0.1875
211,0.31288181381193747,0.13878981134082558,0.1740920024711119,0.45278141841112435,0.26410840100718336,0.188673017403941,0.1875,0.0,0.1875
212,0.33313085868280723,0.15833010718701837,0.17480075149578886,0.47765188403319164,0.338197447079309,0.13945443695388265,0.25,0.0,0.25
213,0.511595089384768,0.211086967160972,0.3005081222237961,0.6475227203640392,0.39115405935142206,0.2563686610126172,0.4375,0.0625,0.375
214,0.4953019803155902,0.137837597879915,0.3574643824356752,0.5959398395826654,0.27499126841543187,0.3209485711672335,0.4375,0.0,0.4375
215,0.2219914211419243,0.13094433386147564,0.09104708728044866,0.34173145698232776,0.25071966958640857,0.0910117873959192,0.125,0.0,0.125
216,0.37623183700168883,0.24117956483306485,0.13505227216862398,0.4928945290222182,0.3903777110281571,0.1025168179940611,0.3125,0.125,0.1875
217,0.39057708181405576,0.17917245625651856,0.2114046255575372,0.5230546170609904,0.31617393665463334,0.2068806804063571,0.3125,0.0625,0.25
218,0.25024251764938277,0.1921860940771054,0.05805642357227736,0.40575477782567004,0.3330458961310496,0.07270888169462042,0.125,0.0625,0.0625
219,0.16482378330518407,0.2605140393282191,-0.09569025602303502,0.288529811905049,0.40215371456896526,-0.11362390266391625,0.0625,0.125,-0.0625
220,0.2764978553605622,0.19743084400460492,0.07906701135595728,0.38133797634894084,0.3420115648618003,0.039326411487140556,0.1875,0.0625,0.125
221,0.43042478786372257,0.10044760181738335,0.3299771860463392,0.5398674000786123,0.20806640959543285,0.33180099048317946,0.375,0.0,0.375
222,0.297533233932634,0.18372288361954311,0.11381035031309086,0.4228292049248275,0.3082130564967128,0.11461614842811468,0.1875,0.0625,0.125
223,0.31672194096517026,0.23421008159296552,0.08251185937220473,0.43259933934726025,0.36501951439862956,0.06757982494863068,0.25,0.125,0.125
224,0.3881254339401068,0.19049592599273246,0.19762950794737433,0.482762234742545,0.32469217072850887,0.15807006401403612,0.3125,0.0625,0.25
225,0.3743943429305352,0.19866174486379906,0.17573259806673613,0.4998330247708285,0.3534035365999636,0.14642948817086493,0.3125,0.0625,0.25
226,0.32648162040053286,0.19590103679112206,0.1305805836094108,0.4602514908899351,0.3223352517575796,0.1379162391323555,0.25,0.0625,0.1875
227,0.46176619564734694,0.1675733523393388,0.29419284330800816,0.5593535590206944,0.3237989471306665,0.2355546118900279,0.4375,0.0,0.4375
228,0.23808662529673344,0.1837560295465135,0.05433059575021995,0.3625141019097259,0.29391732556429073,0.06859677634543515,0.125,0.0625,0.0625
229,0.20618130800117312,0.18696429605018233,0.019217011950990792,0.36181294568564504,0.3488194883686231,0.01299345731702195,0.0625,0.0625,0.0
230,0.42734053827653773,0.15056638149189386,0.2767741567846439,0.5377241101665267,0.2860372138542539,0.25168689631227276,0.375,0.0,0.375
231,0.3906463916819576,0.20157350103199206,0.18907289064996552,0.527866286545844,0.35096018599316897,0.17690610055267503,0.3125,0.0625,0.25
232,0.28850744261078365,0.1395698817647344,0.14893756084604926,0.4452197482942318,0.2598973185142364,0.18532242977999536,0.1875,0.0,0.1875
233,0.3236720871308141,0.1566993030072611,0.166972784123553,0.44877165884864617,0.28902116194766136,0.1597504969009848,0.25,0.0,0.25
234,0.22212381700118522,0.19405616060449304,0.028067656396692175,0.34019540025763717,0.3294553330339111,0.010740067223726057,0.125,0.0625,0.0625
235,0.30624098043816,0.15724113085622568,0.14899984958193432,0.4579870529085173,0.3051023746200432,0.15288467828847413,0.1875,0.0,0.1875
236,0.3612845990033327,0.24838841276008708,0.11289618624324563,0.4777993275953133,0.36989016239660744,0.10790916519870586,0.3125,0.125,0.1875
