geometry_angstrom,method,seed,k,captured_probability_mass,absolute_energy_error_hartree,selected_subspace_energy_hartree,exact_sector_energy_hartree,precision_at_k,recall_at_k,ndcg_at_k,selection_efficiency,overlap_with_real
0.75,RANDOM,25043000,12,0.9923014608785138,0.018327025697012722,-5.184251951249212,-5.202578976946224,0.08333333333333333,1.0,0.3379878420353928,0.08269178840654282,5
0.75,NULL,25043001,12,0.018377900464384565,1.1002907521145593,-4.102288224831665,-5.202578976946224,0.0,0.0,0.004090178998092786,0.0015314917053653803,4
0.75,RANDOM,25043001,12,0.0022364942824277326,0.7534857955612262,-4.449093181384998,-5.202578976946224,0.0,0.0,0.0009175844185983407,0.0001863745235356444,5
0.75,NULL,25043002,12,0.005428661962033363,1.4051718453736863,-3.797407131572538,-5.202578976946224,0.0,0.0,0.001133310850871209,0.0004523884968361136,4
0.75,RANDOM,25043002,12,0.005477591900374558,0.5728379578259126,-4.629741019120312,-5.202578976946224,0.0,0.0,0.0011869967120647982,0.0004564659916978799,4
0.75,NULL,25043003,12,0.976602153879617,0.033408983437412054,-5.169169993508812,-5.202578976946224,0.08333333333333333,1.0,0.3309501761745664,0.08138351282330142,5
0.75,RANDOM,25043003,12,0.01996971020850249,0.5660342490711301,-4.636544727875094,-5.202578976946224,0.0,0.0,0.005091015905156943,0.0016641425173752075,5
0.75,NULL,25043004,12,0.00434904601060564,0.5764437435119669,-4.626135233434257,-5.202578976946224,0.0,0.0,0.0011141668997057,0.00036242050088380336,2
0.75,RANDOM,25043004,12,0.016483160195232282,1.1223973648735601,-4.080181612072664,-5.202578976946224,0.0,0.0,0.003932752430585339,0.0013735966829360234,1
0.75,NULL,25043005,12,0.9794512088122843,0.026852471513091558,-5.175726505433133,-5.202578976946224,0.08333333333333333,1.0,0.26961770514036,0.08162093406769036,6
0.75,RANDOM,25043005,12,0.007933757045999999,1.36771750674108,-3.8348614702051442,-5.202578976946224,0.0,0.0,0.0017761330220356483,0.0006611464204999999,5
0.75,NULL,25043006,12,0.01987700254117488,1.1345149424618963,-4.068064034484328,-5.202578976946224,0.0,0.0,0.004801645035826982,0.00165641687843124,4
0.75,RANDOM,25043006,12,0.9917005624952854,0.0191872856000872,-5.183391691346137,-5.202578976946224,0.08333333333333333,1.0,0.3340631188891085,0.08264171354127378,4
0.75,NULL,25043007,12,0.97737794329589,0.031279921973543345,-5.171299054972681,-5.202578976946224,0.08333333333333333,1.0,0.26884136844677325,0.08144816194132416,5
0.75,RANDOM,25043007,12,0.01954170064597742,0.5713358400652444,-4.63124313688098,-5.202578976946224,0.0,0.0,0.004017213745530747,0.0016284750538314516,3
0.75,NULL,25043008,12,0.9774261488892543,0.0313082975032426,-5.171270679442982,-5.202578976946224,0.08333333333333333,1.0,0.35360253392623486,0.08145217907410453,5
0.75,RANDOM,25043008,12,0.00138165931756101,0.771007716678791,-4.431571260267433,-5.202578976946224,0.0,0.0,0.0003363047290674998,0.0001151382764634175,3
0.75,NULL,25043009,12,0.9950599491580921,0.012728294827364373,-5.18985068211886,-5.202578976946224,0.08333333333333333,1.0,0.31846909532547807,0.08292166242984102,7
0.75,RANDOM,25043009,12,0.002908981057050913,0.5800335196136057,-4.622545457332619,-5.202578976946224,0.0,0.0,0.0006190799442052084,0.0002424150880875761,2
0.75,NULL,25043010,12,0.019878730697407566,0.5740358646267891,-4.628543112319435,-5.202578976946224,0.0,0.0,0.004462378059554355,0.0016565608914506306,5
0.75,RANDOM,25043010,12,0.004937553670928548,0.7697344585249262,-4.432844518421298,-5.202578976946224,0.0,0.0,0.0022023504213103634,0.0004114628059107123,4
0.75,NULL,25043011,12,9.297438418836734e-05,0.7582682413755419,-4.444310735570682,-5.202578976946224,0.0,0.0,2.082518383749518e-05,7.747865349030612e-06,1
0.75,RANDOM,25043011,12,0.9784405356226019,0.02937415616579564,-5.173204820780429,-5.202578976946224,0.08333333333333333,1.0,0.2876914354277093,0.08153671130188349,7
0.75,REAL,,16,0.999930818732274,0.00030573929190502724,-5.202273237654319,-5.202578976946224,0.0625,1.0,0.9999840526719046,0.06249567617076712,
0.75,NULL,25043000,16,0.9795122181611997,0.025973493926317204,-5.176605483019907,-5.202578976946224,0.0625,1.0,0.24348643159855546,0.06121951363507498,9
