geometry_angstrom,method,seed,k,captured_probability_mass,absolute_energy_error_hartree,selected_subspace_energy_hartree,exact_sector_energy_hartree,precision_at_k,recall_at_k,ndcg_at_k,selection_efficiency,reaches_chemical_accuracy,overlap_with_real
1.2,RANDOM,25043000,8,0.0009685299579126378,0.1817495542246199,-8.9936243262713,-9.17537388049592,0.0,0.0,0.00026496671118401684,0.00012106624473907972,False,0
1.2,RANDOM,25043001,8,4.1379695467021347e-07,0.8556410177991598,-8.31973286269676,-9.17537388049592,0.0,0.0,1.2388389161418206e-07,5.1724619333776684e-08,False,0
1.2,RANDOM,25043002,8,1.2937892690622494e-05,2.404921583369667,-6.770452297126253,-9.17537388049592,0.0,0.0,5.111649546083463e-06,1.6172365863278118e-06,False,0
1.2,RANDOM,25043003,8,0.9820121829417209,0.01681445422405048,-9.15855942627187,-9.17537388049592,0.125,1.0,0.3311816720375388,0.12275152286771511,False,1
1.2,RANDOM,25043004,8,0.0020785744561202545,0.8354110128615684,-8.339962867634352,-9.17537388049592,0.0,0.0,0.0014687963131266343,0.0002598218070150318,False,1
1.2,RANDOM,25043005,8,9.317621632414207e-06,2.1418242656815005,-7.03354961481442,-9.17537388049592,0.0,0.0,2.344331010428676e-06,1.1647027040517759e-06,False,0
1.2,RANDOM,25043006,8,1.2453929666851743e-05,0.2266549076680242,-8.948718972827896,-9.17537388049592,0.0,0.0,4.025590065484788e-06,1.556741208356468e-06,False,0
1.2,RANDOM,25043007,8,2.7822205690202097e-09,2.3711809188877355,-6.804192961608185,-9.17537388049592,0.0,0.0,9.82364670807418e-10,3.477775711275262e-10,False,0
1.2,RANDOM,25043008,8,0.0020793772908181047,0.6080938191990786,-8.567280061296842,-9.17537388049592,0.0,0.0,0.0009273851903089311,0.0002599221613522631,False,1
1.2,RANDOM,25043009,8,9.293031381041028e-06,2.404921583369669,-6.770452297126251,-9.17537388049592,0.0,0.0,2.3376133210969122e-06,1.1616289226301285e-06,False,0
