version,seed,family,target_group,partner_target_group,g,k,bar_g,bar_k,X_norm,partner_norm,anti_pair_residual,same_pair_residual,pair_sum_norm
v32.26,25042000,dephasing,32,31,2,28,61,35,0.00016572303758815736,0.00016572303758792978,0.04760504938294442,1.9994333595465879,7.889253388275785e-06
v32.26,25042000,dephasing,32,31,2,29,61,34,0.0007242829614218374,0.0007242829614205672,0.30314510907216063,1.976892268900512,0.00021956283733933038
v32.26,25042000,dephasing,32,31,2,30,61,33,0.00046625257396209845,0.00046625257395949317,0.3802952878472908,1.9635110119423307,0.00017731365682445647
v32.26,25042000,dephasing,32,31,2,31,61,32,1.92623287023942e-06,1.92623287019995e-06,0.7784089558745533,1.842302770266691,1.4993969172943108e-06
v32.26,25042000,dephasing,32,31,2,33,61,30,0.016295885100938937,0.016295885100941095,1.9986306695323164,0.07399626209664677,0.0325694557499156
v32.26,25042000,dephasing,32,31,2,34,61,29,4.162664900802483e-05,4.162664900749783e-05,0.2647501375033382,1.9823993958436636,1.1020661048677772e-05
v32.26,25042000,dephasing,32,31,2,35,61,28,7.794111167928018e-06,7.794111168681694e-06,0.325161916039664,1.9733904144822993,2.5343481214346846e-06
v32.26,25042000,dephasing,32,31,2,36,61,27,0.0005677558133289577,0.0005677558133286725,0.0065244922850855175,1.9999893577212886,3.7043184238772376e-06
v32.26,25042000,dephasing,32,31,2,37,61,26,0.000539961811328409,0.0005399618113287022,0.02895035044856814,1.9997904583247548,1.563208366680956e-05
v32.26,25042000,dephasing,32,31,2,38,61,25,8.252480684001159e-05,8.252480684012113e-05,0.01778866347916873,1.999920889296953,1.4680060175623165e-06
v32.26,25042000,dephasing,32,31,2,39,61,24,5.356226464361666e-05,5.356226464361857e-05,0.06338866551713232,1.9989952168736709,3.3952404778344603e-06
v32.26,25042000,dephasing,32,31,2,40,61,23,1.1978514695464335e-06,1.197851469534917e-06,0.07845013992417256,1.998460801593922,9.397161539429344e-08
v32.26,25042000,dephasing,32,31,2,41,61,22,1.0259109262875074e-05,1.0259109262864879e-05,0.0008677446153402433,1.999999811753818,8.902286821047058e-09
v32.26,25042000,dephasing,32,31,2,42,61,21,9.851253789545982e-05,9.851253789536728e-05,0.00017121388210501398,1.9999999926705125,1.686671404909898e-08
v32.26,25042000,dephasing,32,31,2,43,61,20,1.0284400562082539e-05,1.0284400562025257e-05,0.098104844893363,1.9975924107250134,1.0089495219643228e-06
v32.26,25042000,dephasing,32,31,2,44,61,19,0.008732056631198849,0.008732056631199164,0.00016257766871425905,1.9999999933920893,1.4196374101812467e-06
v32.26,25042000,dephasing,32,31,2,45,61,18,0.0009467666498019988,0.0009467666498027785,0.000455784504417064,1.9999999480642976,4.315215682789633e-07
v32.26,25042000,dephasing,32,31,2,46,61,17,1.8186110931991e-05,1.8186110931908846e-05,0.002361870601732458,1.999998605386811,4.295324077011482e-08
v32.26,25042000,dephasing,32,31,2,47,61,16,0.00011796710614722118,0.00011796710614720614,0.0005459978625768706,1.9999999254714547,6.440978781076158e-08
v32.26,25042000,dephasing,32,31,2,48,61,15,1.471175501904449e-06,1.4711755018973367e-06,0.026171841641258645,1.999828751339916,3.8503372262342446e-08
v32.26,25042000,dephasing,32,31,2,49,61,14,1.420738399199529e-06,1.4207383991936087e-06,0.0013916458907798793,1.9999995158262032,1.9771647551192083e-09
v32.26,25042000,dephasing,32,31,2,50,61,13,2.075187314887546e-05,2.075187314887701e-05,0.0005576708925559004,1.9999999222507172,1.1572715621141066e-08
