version,n_qubits,dimension,seed,family,g_minus,g_plus,E_abs,prominence,S_group,A_group,C2_group,C_group,n_channels_mean,identity_residual_maxabs,n_groups,n_pairs
v32.22,7,128,25042007,transverse,27,36,0.8135803308210463,-0.03667712791389041,0.09268224536971037,-0.05463479732408193,0.03804744804562846,0.19505755059886415,63.0,6.938893903907228e-18,64,32
v32.22,7,128,25042007,transverse,28,35,0.6026272030169486,0.34033597877973415,0.078980385601475,-0.01938053743988636,0.05959984816158864,0.24413080133729265,63.0,1.3877787807814457e-17,64,32
v32.22,7,128,25042007,transverse,29,34,0.5027122408548748,0.003876454229426979,0.06838466222817731,0.17186883415438703,0.24025349638256432,0.4901566039365014,63.0,2.7755575615628914e-17,64,32
v32.22,7,128,25042007,transverse,30,33,0.48628181495039635,-0.1932061472957296,0.07696324653791828,0.0005714710868451851,0.07753471762476347,0.2784505658546297,63.0,0.0,64,32
v32.22,7,128,25042007,transverse,31,32,0.3238968556264258,0.2002839624708652,0.08997496901807366,0.09910848517279887,0.18908345419087252,0.4348372732308864,63.0,0.0,64,32
v32.22,7,128,25042008,dephasing,0,63,3.6995102410599676,0.13522532750974386,0.3909087839666914,0.6060810894276049,0.9969898733942962,0.9984938023815152,63.0,1.1102230246251565e-16,64,32
v32.22,7,128,25042008,dephasing,1,62,3.6765033100328477,0.06698588744532272,0.3922934949715725,-0.35913018933993157,0.03316330563164095,0.18210795048992495,63.0,2.0816681711721685e-17,64,32
v32.22,7,128,25042008,dephasing,2,61,3.3947948772601295,-0.4691917559306249,0.17884459897817612,-0.13257802639226113,0.04626657258591495,0.21509665870467387,63.0,1.3877787807814457e-17,64,32
v32.22,7,128,25042008,dephasing,3,60,3.374155578181713,0.020746018097367314,0.17897551975660841,-0.17243101186833865,0.006544507888269782,0.0808981327860525,63.0,1.5612511283791264e-17,64,32
v32.22,7,128,25042008,dephasing,4,59,3.168636769036305,0.33828877101126603,0.35120955291328015,0.6080940981908479,0.9593036511041281,0.979440478591797,63.0,1.1102230246251565e-16,64,32
v32.22,7,128,25042008,dephasing,5,58,3.13812642958258,0.1111937757868674,0.3597790841069627,-0.30082429305041036,0.05895479105655234,0.24280607705852902,63.0,2.0816681711721685e-17,64,32
v32.22,7,128,25042008,dephasing,6,57,3.020894155824963,-0.08030270186720459,0.41878607568754933,-0.33915356045841405,0.07963251522913525,0.2821923372969848,63.0,1.3877787807814457e-17,64,32
v32.22,7,128,25042008,dephasing,7,56,2.9933602014329272,0.20470988203347337,0.45553976043036293,-0.2822731749697276,0.17326658546063534,0.41625303057231344,63.0,2.7755575615628914e-17,64,32
v32.22,7,128,25042008,dephasing,8,55,2.8839947934580175,-0.07381958051787899,0.5946244723747776,0.05241391476779823,0.6470383871425758,0.8043869635583211,63.0,0.0,64,32
