version,seed,family,group,lambda,exact_norm,k2_term_norm,k3_term_norm,k4_term_norm,abs_err_K2,abs_err_K2K3,abs_err_K2K3K4,rel_err_K2,rel_err_K2K3,rel_err_K2K3K4
v32.24,25042000,dephasing,22,0.003,2.6741595621030457e-05,2.6736681358053687e-05,8.353606274345991e-09,5.305327388067079e-09,9.898606492040246e-09,5.307182958305741e-09,2.8564212317138385e-12,0.000370157661207608,0.00019846171610388125,1.0681566172018008e-07
v32.24,25042000,dephasing,22,0.001,2.9708030239530477e-06,2.970742373117076e-06,3.093928249757775e-10,6.549786898848246e-11,3.162583163259372e-10,6.550041357119031e-11,9.254123362065483e-15,0.00010645549832015236,2.2048049986172868e-05,3.1150242165001046e-09
v32.24,25042000,dephasing,22,0.0003,2.673673048347368e-07,2.673668135805368e-07,8.35360627434599e-12,5.305327388067076e-13,8.370456332069992e-12,5.305345937578223e-13,2.1689294554281985e-17,3.13069555652808e-05,1.9842912134890713e-06,8.112171593938317e-11
v32.24,25042000,dephasing,23,0.01,0.0001985371729498948,0.00019968541372170114,8.3001566214925e-09,1.1660641238617014e-06,1.1609439899208807e-06,1.1609158250917147e-06,5.258422820628425e-09,0.005847489277052768,0.0058473474153109715,2.6485835083163513e-05
v32.24,25042000,dephasing,23,0.003,1.7962349487068698e-05,1.7971687234953103e-05,2.2410422878029748e-10,9.445119403279782e-09,9.44399786972184e-09,9.441350800666604e-09,3.978070291506716e-12,0.0005257662911258176,0.0005256189234856799,2.2146714684348918e-07
v32.24,25042000,dephasing,23,0.001,1.9967388160450067e-06,1.9968541372170114e-06,8.3001566214925e-12,1.1660641238617014e-10,1.1689613602797256e-10,1.166012409588279e-10,6.817542522986049e-15,5.8543528622091804e-05,5.839584026807424e-05,3.414338654711854e-09
v32.24,25042000,dephasing,23,0.0003,1.7971593821086012e-07,1.79716872349531e-07,2.2410422878029743e-13,9.445119403279777e-13,9.707296574551283e-13,9.445081702485864e-13,1.1204528173137958e-17,5.401466709737087e-06,5.255561524768038e-06,6.234576790841846e-11
v32.24,25042000,dephasing,24,0.01,0.0002384924833452394,0.00023713177441735318,3.222284867689068e-07,1.440304045749746e-06,1.5045282807669767e-06,1.471119531589555e-06,3.2069145831813304e-08,0.006308493499097144,0.006168410471285071,0.00013446606526961406
v32.24,25042000,dephasing,24,0.003,2.1352681449351542e-05,2.1341859697561784e-05,8.700169142760482e-09,1.1666462770572943e-08,1.4561606839702044e-08,1.1688585976790913e-08,2.7606192343221998e-11,0.0006819568246846236,0.0005474060016544612,1.2928677088497645e-06
v32.24,25042000,dephasing,24,0.001,2.3714511324865284e-06,2.3713177441735313e-06,3.2222848676890677e-10,1.4403040457497463e-10,3.5290631741581856e-10,1.4406071089305213e-10,7.252258115849274e-14,0.00014881450120618218,6.074791460788008e-05,3.058152038851036e-08
v32.24,25042000,dephasing,24,0.0003,2.1341967722447176e-07,2.1341859697561782e-07,8.70016914276048e-12,1.1666462770572939e-12,8.777887898412382e-12,1.1666683669472497e-12,1.6104754065468345e-16,4.1129702811704307e-05,5.466545456912882e-06,7.546049302909214e-10
v32.24,25042000,dephasing,25,0.01,0.00012246509395548268,0.00012133689305273699,2.2075216665612097e-07,1.3544039266916178e-06,1.3456834033963868e-06,1.3262020055116122e-06,2.995058183359392e-08,0.01098830172690315,0.01082922457883142,0.0002445642334989043
