version,seed,family,g_minus,g_plus,E_abs,prominence,dim_minus,dim_plus,A_group,C_group,mean_cosine,positive_fraction,mode_excess,weighted_mode_fraction,n_channels_mean,gram_trace_mean
v32.20,25042000,transverse,31,32,0.04659378773055864,0.07724022316920248,4,4,-0.0696891923638916,0.8776881841755937,-0.016232842286693187,0.4918032786885246,0.9125646933300607,0.9999944939771879,62.0,3706.603609082637
v32.20,25042001,dephasing,0,31,3.3993954056915845,0.03692250294628535,8,8,0.11557206374689856,0.9815986342021055,0.8216376345084575,1.0,0.8333955390005625,0.9987937459786538,31.0,4302.8712381381265
v32.20,25042001,dephasing,1,30,3.3842297996904556,0.17102702157231045,8,8,-0.0951426780381458,0.8813605909794733,0.7082876270743521,0.9354838709677419,0.8363644327979486,0.9995073561473709,31.0,4296.497171609672
v32.20,25042001,dephasing,2,29,3.217664522712653,0.1396026882935279,8,8,-0.01343532838545522,0.43580863459136754,0.5930088524511835,0.875268817204301,0.797940476603525,0.826788843257709,31.0,21.59037340113199
v32.20,25042001,dephasing,3,28,3.1069474185291,-0.1010418180254361,8,8,-0.1476742686456235,0.19182173071872916,0.5016092094035611,0.8193548387096774,0.8058327388929423,0.8474228524213844,31.0,14.569653012447258
v32.20,25042001,dephasing,4,27,2.7582925100189017,0.18670224093779636,8,8,0.12230508428729087,0.5923683799896337,0.43220169018155563,0.7677419354838709,0.8185271690704289,0.9198148209784269,31.0,24.047235784042723
v32.20,25042001,dephasing,5,26,2.621648000452833,0.09815454230735261,8,8,-0.17000529878627613,0.24493612853147606,0.3417139731954587,0.7204301075268817,0.8030353527607538,0.8896609014362302,31.0,26.112290758177558
v32.20,25042001,dephasing,6,25,2.3756855671346444,0.03257729411914041,8,8,-0.03743461893395822,0.7226255355408698,0.2963093978943109,0.6774193548387096,0.8231265271444672,0.991951186287384,31.0,252.26518472034434
v32.20,25042001,dephasing,7,24,2.350476373238079,-0.32984845362466475,8,8,0.06091845286300023,0.769273618629186,0.23059702858755715,0.6387096774193548,0.8152833097486607,0.9910615937525742,31.0,254.8998249741956
v32.20,25042001,dephasing,8,23,1.2782390014763387,-0.047850687335421166,8,8,0.10773424979528373,0.5204091248339495,0.17184610102444728,0.6043010752688172,0.8116891868622202,0.9037218029253282,31.0,12.075001943835144
v32.20,25042001,dephasing,9,22,1.2355234268531243,-0.0604661646192671,8,8,-0.0910450970739965,0.2636195930938503,0.1317657470012284,0.5741935483870968,0.8253633160401479,0.9148792605051055,31.0,12.164684958805928
v32.20,25042001,dephasing,10,21,0.872898255051432,-0.14583268827042656,8,8,0.10040684970861607,0.7647618856329836,0.08049761406999154,0.5483870967741935,0.816762640358339,0.9942067236528038,31.0,165.23490935013456
v32.20,25042001,dephasing,11,20,0.8225578717503814,0.11670889053341629,8,8,-0.1067898887719774,0.5883455012430694,0.052048590732368206,0.5268817204301075,0.8265793396459578,0.9929391447101205,31.0,166.04992974120427
v32.20,25042001,dephasing,12,19,0.520032371270511,0.29329177725396566,8,8,0.02141496645111731,0.4055271245875802,0.01816024956557303,0.5096774193548387,0.8137144127076175,0.9025902506245864,31.0,17.11323250082731
v32.20,25042001,dephasing,13,18,0.4401136996169611,0.18396790902393384,8,8,-0.11452127832356106,0.29234187642257836,-0.004492633181276513,0.4967741935483871,0.7992167110021975,0.8428906548781638,31.0,29.31739202501602
v32.20,25042001,dephasing,14,17,0.15448291171778558,-0.1615932953471894,8,8,-0.14002744367711656,0.19595096756506417,-0.02338436680176606,0.4881720430107527,0.8247092204014516,0.8677793520193275,31.0,34.07862104611419
